"","n","mean","sd","skew","kurtosis"
"Chose to do personally important things",602,70.611,19.851,-0.729,0.757
"Helped My Health",602,65.571,22.894,-0.607,0.1
"Paid attention to important things in daily life",602,71.033,20.813,-0.697,0.174
"Connected with important people",602,70.362,21.391,-0.681,0.297
"Experience range emotions approp. to moment",602,70.47,19.312,-0.607,0.528
"Found ways to challenge self",602,57.741,23.101,-0.35,-0.225
"Used thinking to live better",602,65.865,20.806,-0.62,0.546
"Did things only to comply to others",602,51.912,28.466,-0.303,-0.854
"Hurt my health",602,38.939,27.92,0.3,-0.967
"Struggled to connect with moments of day",602,45.586,27.512,-0.047,-0.972
"Hurt social connections",602,38.065,30.598,0.262,-1.161
"Found no appropriate outlet for feelings",602,43.306,28.504,0.102,-1.063
"Found no meaningful challenge",602,46.962,25.623,-0.022,-0.676
"My thinking got in the way of important things",602,54.821,27.041,-0.318,-0.697
"Stuck & unable to change ineffective behavior",602,46.005,28.27,-0.041,-1.023
"Able to change behavior, when changing helped",602,70.063,20.63,-0.833,1.208
"Struggled to keep doing what was important",602,50.706,28.627,-0.262,-0.917
"Stuck to Strategies that worked",602,59.36,21.504,-0.577,0.5
"Sad",602,44.586,30.599,0.023,-1.21
"Anxious",602,49.271,29.584,-0.126,-1.109
"Stressed",602,52.174,29.34,-0.273,-1.027
"Angry",602,46.35,28.636,-0.001,-1.107
"NoSupp",602,44.304,30.563,0.067,-1.183
"VITAL",602,60.501,20.979,-0.44,0.096
"HEALTH",602,2.907,0.881,0.094,0.189
"Autonomy Satisfaction",602,63.982,22.002,-0.389,-0.263
"Autonomy Frustration",602,43.987,27.854,0.085,-0.981
"Competence Satisfaction",602,64.982,22.463,-0.562,0.001
"Competence Frustration",602,44.238,29.036,0.123,-1.062
"Connection Satisfaction",602,68.563,22.277,-0.717,0.389
"Connection Frustration",602,37.508,29.322,0.294,-1.066
